uuid,item_volume,item_attractiveness,putaway_zone,initial_stock
A000093,0.000169,0.01445531992024651,OPT-A-05-07,680
A000094,0.000729,0.003987674460757658,CANTI-HEAVY,0
A000095,0.000256,0.015633496465470364,CANTI-HEAVY,100
A000096,0.000841,0.0,CANTI-LIGHT,600
A000097,0.000441,0.0043955048033351455,OPT-B-05-07,50
A000098,0.000625,0.0,CANTI-HEAVY,375
A000099,5e-05,0.0014500634402755121,OPT-B-05-07,0
A000100,2.5e-05,0.00013594344752582924,OPT-B-01-04,25
A000101,6e-05,9.062896501721951e-05,OPT-C-05-07,10
A000102,0.000135,0.00018125793003443902,CANTI-HEAVY,1
A000103,6e-05,0.0,OPT-B-01-04,10
A000104,0.002025,0.0,CANTI-LIGHT,20
A000105,1.6e-05,4.5314482508609755e-05,OPT-B-01-04,0
A000106,0.0008901,0.0002718868950516585,OPT-B-01-04,6
A000107,0.000162,0.0015406924052927316,OPT-A-01-04,0
A000108,0.0001805,0.0013594344752582926,OPT-A-01-04,0
A000109,0.00019767599999999998,4.5314482508609755e-05,OPT-A-01-04,0
A000110,0.0008065599999999999,0.0,OPT-B-01-04,15
A000111,0.00037905,0.0,OPT-C-01-04,24
A000112,6.148e-05,0.0,OPT-MDK-14,3
A000113,0.008,0.0,PALLET_JACK,2
A000114,0.000144,0.00018125793003443902,OPT-C-01-04,7
A000115,0.00026,9.062896501721951e-05,CANTI-HEAVY,0
A000116,0.00034,9.062896501721951e-05,OPT-B-01-04,0
A000117,0.25400390625,0.00013594344752582924,OPT-C-01-04,0
A000118,0.0009,9.062896501721951e-05,CANTI-LIGHT,0
A000119,0.000167076,9.062896501721951e-05,OPT-A-01-04,0
A000120,1.8411e-05,4.5314482508609755e-05,OPT-C-01-04,0
A000121,2.0518999999999998e-05,0.0015860068878013414,OPT-A-01-04,15
A000122,2.4871e-05,4.5314482508609755e-05,OPT-C-01-04,0
A000123,2.5143e-05,0.001087547580206634,OPT-A-01-04,50
A000124,3.1331e-05,0.00013594344752582924,OPT-C-01-04,0
A000125,0.0018761927086614171,4.5314482508609755e-05,OPT-B-01-04,2
A000126,4.1021e-05,4.5314482508609755e-05,OPT-B-01-04,10
A000127,3.9593000000000005e-05,0.00013594344752582924,OPT-C-01-04,0
A000128,2.2743e-05,0.00013594344752582924,OPT-A-01-04,0
A000129,1.9703e-05,9.062896501721951e-05,OPT-C-01-04,0
A000130,3.1331e-05,9.062896501721951e-05,OPT-B-01-04,0
A000131,2.1708e-05,0.00013594344752582924,OPT-A-01-04,0
A000132,3.5378e-05,0.0005890882726119267,OPT-A-01-04,68
A000133,1.677e-05,0.0,OPT-C-01-04,25
A000134,1.9703e-05,4.5314482508609755e-05,OPT-B-01-04,424
A000135,2.9716e-05,4.5314482508609755e-05,OPT-B-01-04,4
A000136,2.5916e-05,0.0,OPT-B-01-04,0
A000137,4e-05,0.0,OPT-C-01-04,20
A000138,2.5350000000000003e-05,4.5314482508609755e-05,OPT-C-01-04,5
A000139,3.61e-05,0.002945441363059634,OPT-A-01-04,20
A000140,7.56e-07,0.0,OPT-B-01-04,70
A000141,1.76e-06,4.5314482508609755e-05,OPT-B-01-04,0
A000142,2.2e-06,0.0,OPT-B-01-04,0
A000143,1.76e-06,0.0,OPT-C-01-04,0
A000144,2.75e-06,0.00013594344752582924,OPT-B-01-04,2
A000145,4.485e-06,4.5314482508609755e-05,OPT-C-01-04,2
A000146,4.875e-06,4.5314482508609755e-05,OPT-B-01-04,1
A000147,5.655e-06,0.0,OPT-C-01-04,20
A000148,8.1e-06,4.5314482508609755e-05,OPT-B-01-04,0
A000149,9.945e-06,0.0,OPT-A-01-04,40
A000150,1.092e-05,0.0,OPT-B-01-04,0
A000151,1.17e-05,0.0,OPT-B-01-04,0
A000152,1.6055e-05,0.0,OPT-B-01-04,6
A000153,1.375e-05,0.0,OPT-B-01-04,0
A000154,7.429e-06,0.0003172013775602683,OPT-B-01-04,0
A000155,9.367e-06,4.5314482508609755e-05,OPT-B-01-04,7
A000156,1.1951000000000001e-05,4.5314482508609755e-05,OPT-A-01-04,0
A000157,1.4279999999999999e-05,4.5314482508609755e-05,OPT-A-01-04,0
A000158,1.2960000000000001e-05,0.0,OPT-B-01-04,0
A000159,2.12e-05,4.5314482508609755e-05,OPT-C-01-04,0
A000160,2.023e-05,9.062896501721951e-05,OPT-B-01-04,0
A000161,3.564e-05,4.5314482508609755e-05,OPT-A-01-04,0
A000162,1.598e-05,0.0,OPT-B-01-04,0
A000163,1.7157e-05,0.0,PALLET-C,6
A000164,0.0001428,0.0,OPT-B-01-04,7
A000165,6.084e-06,9.062896501721951e-05,OPT-C-01-04,7
A000166,2.0475000000000003e-05,0.00036251586006887804,OPT-B-01-04,17
A000167,1.0336e-05,4.5314482508609755e-05,OPT-C-01-04,0
A000168,1.4858e-05,0.0,OPT-C-01-04,13
A000169,2.5300000000000002e-05,0.0,OPT-B-01-04,0
A000170,5.445e-05,4.5314482508609755e-05,OPT-B-01-04,17
A000171,1.17e-05,0.0,OPT-C-01-04,0
A000172,2.067e-05,0.0,OPT-C-01-04,0
A000173,3.1752e-05,4.5314482508609755e-05,OPT-C-01-04,0
A000174,4.0432e-05,0.0,OPT-B-01-04,0
A000175,1.0032e-05,0.0,OPT-B-01-04,0
A000176,2.4244e-05,4.5314482508609755e-05,OPT-C-01-04,0
A000177,5.5296e-05,9.062896501721951e-05,OPT-C-01-04,3
A000178,5.9755e-05,4.5314482508609755e-05,OPT-C-01-04,0
A000179,1.1951000000000001e-05,0.004123617908283487,OPT-A-01-04,5
A000180,5.85e-06,9.062896501721951e-05,OPT-A-01-04,0
A000181,4.9000000000000005e-06,0.00036251586006887804,OPT-C-01-04,0
A000182,9.224999999999999e-06,0.0,OPT-B-01-04,7
A000183,6.912e-06,0.0,OPT-C-01-04,20
A000184,1.1475e-05,4.5314482508609755e-05,OPT-C-01-04,0
A000185,3e-05,0.0,OPT-B-01-04,2
A000186,8.381e-06,0.00022657241254304877,OPT-B-01-04,0
A000187,6.992e-06,0.00022657241254304877,OPT-A-01-04,0
A000188,6.195199999999999e-05,4.5314482508609755e-05,OPT-A-01-04,1
A000189,0.00010206000000000001,0.0002718868950516585,OPT-B-01-04,0
A000190,8.991e-05,4.5314482508609755e-05,OPT-B-01-04,2
A000191,0.0001581,9.062896501721951e-05,OPT-A-01-04,65
A000192,0.000206976,0.0,OPT-B-01-04,30
A000193,3.8874e-05,0.0,OPT-B-01-04,0
A000194,6.2304e-05,4.5314482508609755e-05,OPT-A-01-04,2
A000195,6.195199999999999e-05,0.0,OPT-B-01-04,0
A000196,5.681e-05,0.0,PALLET-C,10
A000197,6.831e-05,4.5314482508609755e-05,OPT-B-01-04,0
A000198,7.776e-05,0.0006344027551205366,OPT-A-01-04,5
A000199,4.25e-05,4.5314482508609755e-05,OPT-B-01-04,0
A000200,9.881999999999999e-05,4.5314482508609755e-05,OPT-C-01-04,0
A000201,0.000142688,9.062896501721951e-05,OPT-C-01-04,0
A000202,7.92e-05,4.5314482508609755e-05,OPT-C-01-04,0
A000203,0.00010167499999999999,0.0,OPT-B-01-04,25
A000204,3.245e-05,0.0,OPT-B-01-04,8
A000205,5.832e-05,0.0,OPT-B-01-04,0
A000206,6.48e-05,0.0,OPT-C-01-04,2
A000207,6.307200000000001e-05,9.062896501721951e-05,OPT-C-01-04,9
A000208,6.3612e-05,9.062896501721951e-05,OPT-B-01-04,47
A000209,9.881999999999999e-05,4.5314482508609755e-05,OPT-B-01-04,13
A000210,0.000126117,0.0,OPT-B-01-04,0
A000211,0.00025398,0.0008609751676635853,OPT-A-01-04,5
A000212,0.000243,0.0008156606851549756,OPT-A-01-04,6
A000213,3.2604e-05,4.5314482508609755e-05,OPT-B-01-04,18
A000214,3.3e-05,9.062896501721951e-05,OPT-A-01-04,45
A000215,7.5988e-05,4.5314482508609755e-05,OPT-A-01-04,0
A000216,0.0001155,9.062896501721951e-05,OPT-A-01-04,0
A000217,4.3740000000000005e-05,0.0,OPT-B-01-04,12
A000218,0.010246602016840864,4.5314482508609755e-05,OPT-C-01-04,0
A000219,8.423999999999999e-05,4.5314482508609755e-05,OPT-C-01-04,17
A000220,0.00010934999999999999,4.5314482508609755e-05,OPT-B-01-04,0
A000221,0.0001296,4.5314482508609755e-05,OPT-C-01-04,0
A000222,6.7797e-05,0.0,OPT-C-01-04,2
A000223,8.1189e-05,4.5314482508609755e-05,OPT-C-01-04,0
A000224,8.8722e-05,0.00018125793003443902,OPT-C-01-04,0
A000225,0.00011501999999999999,0.0003172013775602683,OPT-A-01-04,0
A000226,0.000128061,0.00018125793003443902,OPT-B-01-04,21
A000227,0.000125388,9.062896501721951e-05,OPT-B-01-04,5
A000228,0.00013464,4.5314482508609755e-05,OPT-C-01-04,16
A000229,0.00014484,4.5314482508609755e-05,OPT-A-01-04,0
A000230,0.00013769999999999999,0.0,OPT-B-01-04,0
A000231,0.00017748,0.0,OPT-B-01-04,5
A000232,0.00018462,4.5314482508609755e-05,OPT-B-01-04,0
A000233,0.00022746000000000002,0.00022657241254304877,OPT-A-01-04,3
A000234,0.000256122,9.062896501721951e-05,OPT-C-01-04,0
A000235,0.00029886,0.00045314482508609753,OPT-A-01-04,10
A000236,0.000156456,4.5314482508609755e-05,OPT-C-01-04,0
A000237,0.000324,9.062896501721951e-05,OPT-C-01-04,0
A000238,7.645e-05,0.0,OPT-B-01-04,0
A000239,5.9532e-05,4.5314482508609755e-05,OPT-A-01-04,21
A000240,0.00034068,0.0,OPT-C-01-04,47
A000241,0.00016014,4.5314482508609755e-05,OPT-B-01-04,0
A000242,0.00016884999999999998,9.062896501721951e-05,OPT-C-01-04,0
A000243,9.477e-05,4.5314482508609755e-05,OPT-C-01-04,7
A000244,5.6079e-05,0.0,OPT-C-01-04,4
A000245,6.57e-05,0.0002718868950516585,OPT-A-01-04,0
A000246,5.6133e-05,4.5314482508609755e-05,OPT-C-01-04,0
A000247,1.197e-05,0.0003172013775602683,OPT-B-01-04,0
A000248,2.3232e-05,0.0,OPT-B-01-04,6
A000249,3.9375e-05,0.0,OPT-C-01-04,0
A000250,2.268e-05,0.0,OPT-B-01-04,8
A000251,5.096e-05,4.5314482508609755e-05,OPT-C-01-04,0
A000252,2.7132e-05,4.5314482508609755e-05,OPT-C-01-04,0
A000253,5.2272e-05,0.0,OPT-B-01-04,21
A000254,5.5799999999999994e-05,4.5314482508609755e-05,OPT-C-01-04,10
A000255,5.6133e-05,0.0003172013775602683,OPT-A-01-04,0
A000256,6.720000000000001e-05,4.5314482508609755e-05,OPT-C-01-04,0
A000257,6.444899999999999e-05,0.0,PALLET-C,0
A000258,7.281900000000001e-05,0.0,OPT-B-01-04,13
A000259,2.2153999999999998e-05,0.0,OPT-B-01-04,8
A000260,3.3e-05,9.062896501721951e-05,OPT-C-01-04,97
A000261,7.956e-05,4.5314482508609755e-05,OPT-B-01-04,16
A000262,1.728e-05,0.002990755845568244,OPT-A-01-04,0
A000263,3.388e-05,0.0,OPT-C-01-04,10
A000264,4.7709e-05,0.0007250317201377561,OPT-A-01-04,15
A000265,3.564e-05,9.062896501721951e-05,OPT-C-01-04,0
A000266,6.358e-06,0.00013594344752582924,OPT-B-01-04,0
A000267,2.3814e-05,4.5314482508609755e-05,OPT-C-01-04,0
A000268,4.4375e-05,4.5314482508609755e-05,OPT-B-01-04,0
A000269,7.02e-05,0.0006797172376291463,OPT-A-01-04,35
A000270,3.3856e-05,0.0,OPT-C-01-04,3
A000271,2.646e-05,0.0,OPT-C-01-04,0
A000272,3.5816000000000004e-05,0.0,OPT-C-01-04,0
A000273,6.7914e-05,0.0,OPT-C-01-04,0
A000274,6.6816e-05,0.0002718868950516585,OPT-A-01-04,33
A000275,6.1152e-05,0.0004078303425774878,OPT-A-01-04,28
A000276,4.1472e-05,0.0,OPT-B-01-04,0
A000277,0.004826159492857143,4.5314482508609755e-05,OPT-B-01-04,10
A000278,2.6e-06,0.0003172013775602683,OPT-B-01-04,5
A000279,5.0999999999999995e-06,0.00018125793003443902,OPT-B-01-04,0
A000280,5.070000000000001e-06,9.062896501721951e-05,OPT-C-01-04,7
A000281,1.2336999999999999e-05,0.0,OPT-C-01-04,2
A000282,0.005369291578512397,4.5314482508609755e-05,OPT-B-01-04,7
A000283,1.2800000000000001e-05,0.0,OPT-B-01-04,30
A000284,5.577e-06,0.00013594344752582924,OPT-A-01-04,0
A000285,9e-06,0.00018125793003443902,OPT-A-01-04,8
A000286,1.152e-05,0.0004984593075947072,OPT-A-01-04,4
A000287,1.2375e-05,0.0,OPT-B-01-04,0
A000288,1.2800000000000001e-05,4.5314482508609755e-05,OPT-C-01-04,20
A000289,1.0692999999999999e-05,0.0,OPT-B-01-04,96
A000290,4.8672e-05,9.062896501721951e-05,OPT-B-01-04,0
A000291,6.3e-05,0.0,OPT-B-01-04,0
A000292,1.408e-05,0.0,OPT-B-01-04,0
A000293,5.9488e-05,0.0,OPT-B-01-04,0
A000294,5.577e-06,0.0,OPT-B-01-04,0
A000295,8.957e-06,0.00013594344752582924,OPT-A-01-04,57
A000296,1.152e-05,0.0,OPT-B-01-04,0
A000297,2.5600000000000002e-05,4.5314482508609755e-05,OPT-C-01-04,0
A000298,5.427e-06,9.062896501721951e-05,OPT-A-01-04,0
A000299,4.84e-05,0.00022657241254304877,OPT-B-01-04,71
A000300,5.1840000000000005e-05,0.0,OPT-C-01-04,15
A000301,4.2444e-05,4.5314482508609755e-05,OPT-C-01-04,6
A000302,1.3608e-05,0.0002718868950516585,OPT-A-01-04,0
A000303,1.92e-05,0.0,OPT-B-01-04,0
A000304,1.6000000000000001e-06,4.5314482508609755e-05,OPT-A-01-04,0
A000305,5.04e-06,0.0,OPT-B-01-04,67
A000306,2.304e-06,4.5314482508609755e-05,OPT-B-01-04,0
A000307,2.2500000000000002e-07,4.5314482508609755e-05,OPT-A-01-04,0
A000308,3.5072000000000006e-05,4.5314482508609755e-05,OPT-A-01-04,0
A000309,6.974999999999999e-06,9.062896501721951e-05,OPT-B-01-04,4
A000310,5.175e-06,0.0010422330976980242,OPT-A-01-04,0
A000311,0.009492748764705882,4.5314482508609755e-05,OPT-A-01-04,0
A000312,1.5228e-05,0.0007250317201377561,OPT-A-01-04,6
A000313,2.304e-06,0.0,OPT-A-01-04,0
A000314,6.4000000000000006e-06,4.5314482508609755e-05,OPT-A-01-04,0
A000315,1.152e-05,4.5314482508609755e-05,OPT-C-01-04,2
A000316,8.319999999999999e-07,4.5314482508609755e-05,OPT-A-01-04,0
A000317,2.816e-05,0.0,OPT-C-01-04,0
A000318,3.888e-06,4.5314482508609755e-05,OPT-C-01-04,2
A000319,5.070000000000001e-06,0.0,OPT-B-01-04,0
A000320,6.422e-06,4.5314482508609755e-05,OPT-C-01-04,30
A000321,1.8251999999999997e-05,0.0,OPT-C-01-04,0
A000322,6.86e-06,0.0,OPT-C-01-04,0
A000323,1.024e-05,0.00013594344752582924,OPT-A-01-04,0
A000324,2.0088e-05,9.062896501721951e-05,OPT-A-01-04,10
A000325,2.3328e-05,0.0011328620627152437,OPT-A-01-04,21
A000326,2.6019e-05,0.0,OPT-C-01-04,0
A000327,4.1454e-05,0.0,OPT-C-01-04,0
A000328,4.5864e-05,4.5314482508609755e-05,OPT-B-01-04,0
A000329,7.1415e-05,0.0,PALLET-C,0
A000330,1.088e-06,0.0,OPT-B-01-04,0
A000331,8.64e-07,9.062896501721951e-05,OPT-B-01-04,0
A000332,4.5e-06,0.0,PALLET-C,0
A000333,5.0999999999999995e-06,0.0,OPT-B-01-04,0
A000334,5.6e-06,0.0,OPT-B-01-04,0
A000335,8.381e-06,4.5314482508609755e-05,OPT-C-01-04,2
A000336,1.0982e-05,0.0,OPT-B-01-04,4
A000337,1.2716e-05,4.5314482508609755e-05,OPT-A-01-04,4
A000338,5.7600000000000004e-05,4.5314482508609755e-05,OPT-C-01-04,0
A000339,0.0054163895634920635,0.0,OPT-B-01-04,30
A000340,3.7908000000000004e-05,4.5314482508609755e-05,OPT-C-01-04,0
A000341,8.3968e-05,0.0,PALLET-C,0
A000342,8.3232e-05,0.00022657241254304877,OPT-B-01-04,0
A000343,0.000106352,0.00022657241254304877,OPT-B-01-04,0
A000344,9.8e-05,4.5314482508609755e-05,OPT-B-01-04,5
A000345,9.4792e-05,0.0,OPT-B-01-04,0
A000346,2.3805e-05,4.5314482508609755e-05,OPT-C-01-04,0
A000347,3.5e-05,0.0,OPT-C-01-04,1
A000348,1e-06,0.0002718868950516585,OPT-B-01-04,20
A000349,0.0002178,4.5314482508609755e-05,OPT-C-01-04,1
A000350,8.3232e-05,9.062896501721951e-05,OPT-B-01-04,0
A000351,0.00011906799999999999,9.062896501721951e-05,OPT-C-01-04,0
A000352,0.00017097300000000002,0.0006344027551205366,OPT-A-01-04,2
A000353,0.0001372,9.062896501721951e-05,OPT-B-01-04,0
A000354,6.9984e-05,4.5314482508609755e-05,OPT-C-01-04,0
A000355,0.000117612,0.0003172013775602683,OPT-B-01-04,1
A000356,4.32e-06,4.5314482508609755e-05,OPT-B-01-04,0
A000357,5.577e-06,4.5314482508609755e-05,OPT-C-01-04,0
A000358,9.802e-06,4.5314482508609755e-05,OPT-C-01-04,0
A000359,1.2168e-05,0.00018125793003443902,OPT-B-01-04,0
A000360,1.152e-06,4.5314482508609755e-05,OPT-C-01-04,0
A000361,4.95e-06,4.5314482508609755e-05,OPT-C-01-04,0
A000362,2.16e-06,9.062896501721951e-05,OPT-A-01-04,7
A000363,3.024e-06,0.00013594344752582924,OPT-C-01-04,0
A000364,4.032e-06,4.5314482508609755e-05,OPT-C-01-04,0
A000365,6.6559999999999995e-06,4.5314482508609755e-05,OPT-B-01-04,0
A000366,6.974999999999999e-06,4.5314482508609755e-05,OPT-C-01-04,0
A000367,9.216e-06,9.062896501721951e-05,OPT-A-01-04,0
A000368,3.042e-06,0.00045314482508609753,OPT-A-01-04,0
A000369,5.625e-06,4.5314482508609755e-05,OPT-C-01-04,3
A000370,1.375e-05,0.0,OPT-B-01-04,0
A000371,2.16e-06,0.0,OPT-A-01-04,0
A000372,6.647e-06,0.00018125793003443902,OPT-C-01-04,0
A000373,6.075e-06,0.0002718868950516585,OPT-C-01-04,2
A000374,1.0496e-05,0.00013594344752582924,OPT-A-01-04,0
A000375,1.9455999999999998e-05,0.00013594344752582924,OPT-B-01-04,0
A000376,1.8e-05,4.5314482508609755e-05,OPT-C-01-04,0
A000377,1.296e-06,0.0007703462026463658,OPT-A-01-04,1
A000378,2.448e-06,0.0004984593075947072,OPT-A-01-04,0
A000379,6.3e-06,4.5314482508609755e-05,OPT-B-01-04,0
A000380,1.875e-05,9.062896501721951e-05,OPT-A-01-04,0
A000381,5.625e-06,4.5314482508609755e-05,OPT-A-01-04,0
A000382,1.2672e-05,4.5314482508609755e-05,OPT-B-01-04,0
A000383,2e-05,0.00013594344752582924,OPT-A-01-04,7
A000384,1.5625e-05,4.5314482508609755e-05,OPT-A-01-04,0
A000385,1.7856000000000003e-05,0.0002718868950516585,OPT-B-01-04,12
A000386,3.024e-06,0.0,OPT-A-01-04,0
A000387,3.6000000000000003e-06,4.5314482508609755e-05,OPT-A-01-04,0
A000388,2.2e-06,0.00036251586006887804,OPT-A-01-04,0
A000389,5.684e-06,0.00013594344752582924,OPT-A-01-04,0
A000390,1.152e-06,0.0,OPT-A-01-04,0
A000391,3.6000000000000003e-06,9.062896501721951e-05,OPT-A-01-04,0
A000392,3.92e-06,0.00022657241254304877,OPT-B-01-04,24
A000393,3.312e-06,0.0,OPT-A-01-04,0
A000394,0.012777031660714285,0.0,OPT-A-01-04,0
A000395,2.1779999999999997e-06,4.5314482508609755e-05,OPT-B-01-04,0
A000396,1.5199999999999998e-05,4.5314482508609755e-05,OPT-A-01-04,0
A000397,2.304e-05,9.062896501721951e-05,OPT-B-01-04,10
A000398,6.7068e-05,0.0,OPT-B-01-04,13
A000399,0.000113535,0.0,OPT-B-01-04,0
A000400,2e-06,0.0,OPT-B-01-04,4
A000401,9.6e-07,4.5314482508609755e-05,OPT-B-01-04,4
A000402,6.156e-06,4.5314482508609755e-05,OPT-B-01-04,24
A000403,7.452e-06,0.0,OPT-C-01-04,0
A000404,8.1e-06,0.0,OPT-C-01-04,25
A000405,9.72e-06,0.0,OPT-A-01-04,0
A000406,1.0044e-05,4.5314482508609755e-05,OPT-C-01-04,20
A000407,1.0692999999999999e-05,0.0,OPT-C-01-04,9
A000408,1.2788999999999999e-05,4.5314482508609755e-05,OPT-B-01-04,8
A000409,1.24e-05,0.00013594344752582924,OPT-B-01-04,0
A000410,1.4993999999999999e-05,0.00036251586006887804,OPT-A-01-04,7
A000411,1.1951000000000001e-05,0.00036251586006887804,OPT-C-01-04,9
A000412,6.336e-06,9.062896501721951e-05,OPT-C-01-04,0
A000413,1.9600000000000002e-05,0.00013594344752582924,OPT-A-01-04,6
A000414,2.904e-05,9.062896501721951e-05,OPT-C-01-04,0
A000415,2.2743e-05,9.062896501721951e-05,OPT-B-01-04,0
A000416,2.304e-05,0.00013594344752582924,OPT-C-01-04,0
A000417,1.8515e-05,9.062896501721951e-05,OPT-C-01-04,2
A000418,2.304e-05,0.0017219503353271706,OPT-B-01-04,34
A000419,2.5920000000000003e-05,0.0007250317201377561,OPT-A-01-04,46
A000420,2.645e-05,0.01980242885626246,OPT-A-01-04,124
A000421,3.168e-05,0.0008609751676635853,OPT-A-01-04,321
A000422,3.456e-05,0.0020844661953960484,OPT-A-01-04,0
A000423,3.703e-05,9.062896501721951e-05,OPT-B-01-04,107
A000424,4.32e-05,0.00013594344752582924,OPT-B-01-04,3
A000425,3.528e-05,0.00018125793003443902,OPT-A-01-04,120
A000426,5.5e-05,0.0011781765452238534,OPT-B-01-04,107
A000427,5.29e-05,9.062896501721951e-05,OPT-C-01-04,0
A000428,5.3240000000000005e-05,0.0002718868950516585,OPT-A-01-04,0
A000429,1.6559999999999997e-05,9.062896501721951e-05,OPT-C-01-04,4
A000430,8.125e-05,4.5314482508609755e-05,OPT-C-01-04,0
