date,uuid,quantity
2021-01-10,A001359,200
2021-01-10,A001522,10
2021-01-10,A001682,40
2021-01-10,A001720,50
2021-01-10,A001948,1
2021-01-10,A001968,1
2021-01-10,A002020,1
2021-01-10,A002087,1
2021-01-10,A002259,1
2021-01-10,A002323,2
2021-01-10,A002328,18
2021-01-10,A002360,2
2021-01-10,A002429,2
2021-01-10,A002459,11
2021-01-10,A002466,10
2021-01-10,A002478,1
2021-01-10,A002522,6
2021-01-10,A002574,1
2021-01-10,A002593,30
2021-01-10,A002602,6
2021-01-10,A002615,6
2021-01-10,A002672,1
2021-01-10,A002681,5
2021-01-10,A002683,30
2021-01-10,A002812,1
2021-01-10,A002845,2
2021-01-10,A002983,6
2021-01-10,A003014,4
2021-01-10,A003015,1
2021-01-10,A003118,2
2021-01-10,A003121,1
2021-01-10,A003171,1
2021-01-10,A003177,3
2021-01-10,A003190,6
2021-01-10,A003203,2
2021-01-10,A003216,1
2021-01-10,A003237,1
2021-01-10,A003263,2
2021-01-10,A003275,10
2021-01-10,A003332,1
2021-01-10,A003359,10
2021-01-10,A003403,1
2021-01-10,A003521,1
2021-01-10,A003523,1
2021-01-10,A003541,1
2021-01-10,A003547,2
2021-01-10,A003548,15
2021-01-10,A003550,1
2021-01-10,A003618,5
2021-01-10,A003634,5
2021-01-10,A003676,6
2021-01-10,A003678,6
2021-01-10,A003680,6
2021-01-10,A003685,6
2021-01-10,A003689,5
2021-01-10,A003780,1
2021-01-10,A003782,1
2021-01-10,A003938,2
2021-01-10,A004143,3
2021-01-10,A004177,2
2021-01-10,A004178,4
2021-01-10,A004190,5
2021-01-10,A004193,1
2021-01-10,A004238,1
2021-01-10,A004565,6
2021-01-10,A004576,70
2021-01-10,A004585,1
2021-01-10,A004700,50
2021-01-10,A004703,13
2021-01-10,A004704,1
2021-01-10,A004719,2
2021-01-10,A004756,10
2021-01-10,A004960,2
2021-01-10,A005032,5
2021-01-10,A005077,1
2021-01-10,A005195,2
2021-01-10,A005270,1
2021-01-10,A005359,3
2021-01-10,A005360,3
2021-01-10,A005392,2
2021-01-10,A005482,2
2021-01-10,A005743,1
2021-01-10,A005762,1
2021-01-10,A006283,2
2021-01-10,A006381,2
2021-01-10,A006397,2
2021-01-10,A006398,2
2021-01-10,A006427,2
2021-01-10,A006442,2
2021-01-10,A006465,2
2021-01-10,A006482,2
2021-01-10,A006495,2
2021-01-10,A006514,2
2021-01-10,A006519,2
2021-01-10,A006523,2
2021-01-10,A006537,2
2021-01-10,A006538,2
2021-01-10,A006539,2
2021-01-10,A006540,2
2021-01-10,A006544,2
2021-01-10,A006581,1
2021-01-10,A006689,5
2021-01-10,A006702,5
2021-01-10,A006809,2
2021-01-10,A006856,1
2021-01-10,A006905,1
2021-01-10,A006909,5
2021-01-10,A006973,7
2021-01-10,A007006,1
2021-01-10,A007134,2
2021-01-10,A007141,8
2021-01-10,A007158,1
2021-01-10,A007239,1
2021-01-10,A007290,2
2021-01-10,A007291,3
2021-01-10,A007292,1
2021-01-10,A007297,1
2021-01-10,A007298,1
2021-01-10,A007307,2
2021-01-10,A007308,2
2021-01-10,A007362,4
2021-01-10,A007407,20
2021-01-10,A007422,38
2021-01-10,A007606,1
2021-01-10,A007869,2
2021-01-10,A007877,2
2021-01-10,A007898,5
2021-01-10,A007899,2
2021-01-10,A007903,2
2021-01-10,A007912,80
2021-01-10,A007933,2
2021-01-10,A007943,1
2021-01-10,A007958,2
2021-01-10,A007959,2
2021-01-10,A007969,1
2021-01-10,A008032,2
2021-01-10,A008092,1
2021-01-10,A008102,1
2021-01-10,A008123,2
2021-01-10,A008147,880
2021-01-10,A008176,2
2021-01-10,A008200,2
2021-01-10,A008201,2
2021-01-10,A008239,2
2021-01-10,A008242,1
2021-01-10,A008255,2
2021-01-10,A008269,1
2021-01-10,A008278,6
2021-01-10,A008280,1
2021-01-10,A008294,2
2021-01-10,A008299,2
2021-01-10,A008310,3
2021-01-10,A008333,1
2021-01-10,A008343,1
2021-01-10,A008349,3
2021-01-10,A008369,1
2021-01-10,A008422,3
2021-01-10,A008438,3
2021-01-10,A008507,2
2021-01-10,A008536,6
2021-01-10,A008549,1
2021-01-10,A008566,5
2021-01-10,A008568,7
2021-01-10,A008575,3
2021-01-10,A008644,13
2021-01-10,A008667,1
2021-01-10,A008856,1
2021-01-10,A009008,2
2021-01-10,A009009,1
2021-01-10,A009086,3
2021-01-10,A009096,2
2021-01-10,A009100,3
2021-01-10,A009105,2
2021-01-10,A009137,1
2021-01-10,A009279,1
2021-01-10,A009368,1
2021-01-10,A009391,1
2021-01-10,A009435,1
2021-01-10,A009645,1
2021-01-10,A009646,1
2021-01-10,A009685,4
2021-01-10,A009729,1
2021-01-10,A009730,1
2021-01-10,A009731,1
2021-01-10,A009732,1
2021-01-10,A009733,1
2021-01-10,A009760,1
2021-01-10,A009788,3
2021-01-10,A009793,2
2021-01-10,A009804,2
2021-01-10,A009808,2
2021-01-10,A009812,2
2021-01-10,A009815,1
2021-01-10,A009817,1
2021-01-10,A009825,1
2021-01-10,A009831,2
2021-01-10,A009860,2
2021-01-10,A009879,1
2021-01-10,A009881,1
2021-01-10,A009905,1
2021-01-10,A009906,1
2021-01-10,A009909,2
2021-01-10,A009915,1
2021-01-10,A009919,2
2021-01-10,A009977,1
2021-01-10,A009995,2
2021-01-10,A010041,1
2021-01-10,A010070,4
2021-01-10,A010158,1
2021-01-10,A010170,2
2021-01-10,A010242,1
2021-01-10,A010268,1
2021-01-10,A010511,1
2021-01-10,A010548,72
2021-01-10,A010635,3
2021-01-10,A010690,10
2021-01-10,A010727,5
2021-01-10,A010731,9
2021-01-10,A010753,10
2021-01-10,A010788,13
2021-01-10,A010796,5
2021-01-10,A010887,1
2021-01-10,A010888,8
2021-01-10,A010898,2
2021-01-10,A010939,2
2021-01-10,A010946,6
2021-01-10,A010950,21
2021-01-10,A010960,1
2021-01-10,A010983,1
2021-01-10,A010996,1
2021-01-10,A011041,1
2021-01-10,A011050,2
2021-01-10,A011051,2
2021-01-10,A011052,2
2021-01-10,A011053,2
2021-01-10,A011055,2
2021-01-10,A011056,2
2021-01-10,A011061,3
2021-01-10,A011081,1
2021-01-10,A011103,2
2021-01-10,A011127,2
2021-01-10,A011128,1
2021-01-10,A011129,1
2021-01-10,A011130,1
2021-01-10,A011131,1
2021-01-10,A011188,1
2021-01-10,A011189,1
2021-01-10,A011208,1
2021-01-10,A011209,1
2021-01-10,A011249,1
2021-01-10,A011255,1
2021-01-10,A011256,1
2021-01-10,A011296,6
2021-01-10,A011345,1
2021-01-10,A011350,1
2021-01-10,A011351,1
2021-01-10,A011359,2
2021-01-10,A011360,2
2021-01-10,A011364,4
2021-01-10,A011369,2
2021-01-10,A011370,2
2021-01-10,A011383,2
2021-01-10,A011384,2
2021-01-10,A011430,1
2021-01-10,A011512,2
2021-01-10,A011525,10
2021-01-10,A011598,1
2021-01-10,A011791,11
2021-01-10,A011801,2
2021-01-10,A011818,2
2021-01-10,A011825,1
2021-01-10,A011867,2
2021-01-10,A011878,4
2021-01-10,A011896,1
2021-01-10,A011897,1
2021-01-10,A011912,18
2021-01-10,A011919,1
2021-01-10,A011920,1
2021-01-10,A011959,1
2021-01-10,A011966,2
2021-01-10,A011967,3
2021-01-10,A011972,1
2021-01-10,A011973,1
2021-01-10,A011982,1
2021-01-10,A011983,1
2021-01-10,A011994,1
2021-01-10,A011995,2
2021-01-10,A012005,2
2021-01-10,A012025,7
2021-01-10,A012148,2
2021-01-10,A012149,2
2021-01-10,A012201,1
2021-01-10,A012213,1
2021-01-10,A012229,3
2021-01-10,A012230,2
2021-01-10,A012231,2
2021-01-10,A012235,2
2021-01-10,A012236,2
2021-01-10,A012241,2
2021-01-10,A012243,2
2021-01-10,A012269,2
2021-01-10,A012424,2
2021-01-10,A012432,1
2021-01-10,A012882,1
2021-01-10,A012971,1
2021-01-10,A013186,7
2021-01-10,A013258,50
2021-01-10,A013300,1
2021-01-10,A013418,10
2021-01-10,A013430,5
2021-01-10,A013442,2
2021-01-10,A013446,1
2021-01-10,A013481,1
2021-01-10,A013498,3
2021-01-10,A013499,15
2021-01-10,A013503,1
2021-01-10,A013558,1
2021-01-10,A013655,2
2021-01-10,A013987,2
2021-01-10,A014023,4
2021-01-10,A014088,1
2021-01-10,A014124,1
2021-01-10,A014159,2
2021-01-10,A014163,4
2021-01-10,A014226,1
2021-01-11,A002304,1
2021-01-11,A003190,1
2021-01-11,A003194,1
2021-01-11,A013857,3
2021-01-11,A013860,1
2021-01-11,A013861,3
2021-01-11,A013871,11
2021-01-11,A013877,1
2021-01-11,A013878,4
2021-01-11,A013890,5
2021-01-11,A013900,2
2021-01-11,A013902,1
2021-01-11,A013905,1
2021-01-11,A013906,2
2021-01-11,A013909,5
2021-01-11,A013910,1
2021-01-11,A013916,1
2021-01-11,A013923,2
2021-01-11,A013924,5
2021-01-11,A013931,4
2021-01-12,A010636,4
2021-01-12,A010685,1
2021-01-12,A010794,2
2021-01-12,A011059,1
2021-01-12,A013857,1
2021-01-12,A013871,3
2021-01-12,A015491,4
2021-01-12,A015861,2
2021-01-12,A016146,2
2021-01-12,A016616,4
2021-01-12,A017024,1
2021-01-12,A017026,2
2021-01-12,A017186,3
2021-01-12,A017273,2
2021-01-12,A017360,4
2021-01-12,A019985,1
2021-01-12,A020008,2
2021-01-12,A020027,1
2021-01-12,A020040,2
2021-01-12,A020175,2
2021-01-12,A020183,2
2021-01-12,A020568,4
2021-01-12,A020576,2
2021-01-12,A020650,2
2021-01-12,A020710,5
2021-01-12,A021120,2
2021-01-12,A021195,5
2021-01-12,A021248,1
2021-01-12,A022782,2
2021-01-12,A022869,1
2021-01-12,A023803,1
2021-01-12,A025175,1
2021-01-12,A025997,2
2021-01-12,A027413,2
2021-01-12,A027904,1
2021-01-12,A027912,1
2021-01-12,A028349,1
2021-01-12,A029160,1
2021-01-12,A029449,1
2021-01-12,A029652,2
2021-01-12,A029836,2
2021-01-12,A030455,3
2021-01-13,A000247,150
2021-01-13,A000302,6
2021-01-13,A000481,16
2021-01-13,A000499,6
2021-01-13,A000503,8
2021-01-13,A000504,4
2021-01-13,A000634,20
2021-01-13,A000653,6
2021-01-13,A000812,160
2021-01-13,A000846,10
2021-01-13,A000857,10
2021-01-13,A000859,2
2021-01-13,A000895,1
2021-01-13,A000913,2
2021-01-13,A001022,8
2021-01-13,A001162,2
2021-01-13,A001200,4
2021-01-13,A001228,5
2021-01-13,A001253,2
2021-01-13,A001269,6
2021-01-13,A001279,20
2021-01-13,A001325,5
2021-01-13,A001364,1
2021-01-13,A001439,10
2021-01-13,A001917,1
2021-01-13,A001957,5
2021-01-13,A002439,6
2021-01-13,A002485,1
2021-01-13,A002615,12
2021-01-13,A003042,1
2021-01-13,A003171,5
2021-01-13,A003296,3
2021-01-13,A003540,10
2021-01-13,A003541,4
2021-01-13,A003634,80
2021-01-13,A003724,18
2021-01-13,A003745,1
2021-01-13,A003929,5
2021-01-13,A003931,5
2021-01-13,A003935,20
2021-01-13,A003936,20
2021-01-13,A003940,20
2021-01-13,A004164,2
2021-01-13,A004197,3
2021-01-13,A004253,6
2021-01-13,A004666,4
2021-01-13,A005509,1
2021-01-13,A005847,1
2021-01-13,A005942,1
2021-01-13,A006053,1
2021-01-13,A006054,1
2021-01-13,A006948,30
2021-01-13,A006950,2
2021-01-13,A006951,2
2021-01-13,A007016,1
2021-01-13,A007141,8
2021-01-13,A007151,6
2021-01-13,A007168,2
2021-01-13,A007263,1
2021-01-13,A007410,4
2021-01-13,A007415,1
2021-01-13,A007416,1
2021-01-13,A007453,2
2021-01-13,A007454,2
2021-01-13,A007461,2
2021-01-13,A007619,1
2021-01-13,A007744,10
2021-01-13,A007827,1
2021-01-13,A008039,6
2021-01-13,A008114,3
2021-01-13,A008349,6
2021-01-13,A008438,4
2021-01-13,A008668,3
2021-01-13,A008670,2
2021-01-13,A008671,1
2021-01-13,A008736,2
2021-01-13,A008741,1
2021-01-13,A008754,1
2021-01-13,A008761,1
2021-01-13,A008792,2
2021-01-13,A008806,2
2021-01-13,A008832,1
2021-01-13,A008844,2
2021-01-13,A008857,3
2021-01-13,A008929,4
2021-01-13,A008930,2
2021-01-13,A008933,1
2021-01-13,A008937,1
2021-01-13,A008944,1
2021-01-13,A008945,2
2021-01-13,A008964,1
2021-01-13,A009075,1
2021-01-13,A009076,1
2021-01-13,A009113,2
2021-01-13,A009114,1
2021-01-13,A009116,1
2021-01-13,A009118,1
2021-01-13,A009120,1
2021-01-13,A009153,1
2021-01-13,A009182,1
2021-01-13,A009186,5
2021-01-13,A009187,5
2021-01-13,A009192,1
2021-01-13,A009193,1
2021-01-13,A009200,1
2021-01-13,A009201,1
2021-01-13,A009202,2
2021-01-13,A009203,2
2021-01-13,A009206,2
2021-01-13,A009213,2
2021-01-13,A009236,1
2021-01-13,A009237,1
2021-01-13,A009257,2
2021-01-13,A009269,4
2021-01-13,A009477,1
2021-01-13,A009478,1
2021-01-13,A009629,1
2021-01-13,A009946,6
2021-01-13,A009948,6
2021-01-13,A009949,2
2021-01-13,A009956,1
2021-01-13,A010060,2
2021-01-13,A010063,2
2021-01-13,A010400,20
2021-01-13,A010465,2
2021-01-13,A010584,2
2021-01-13,A010603,1
2021-01-13,A010786,50
2021-01-13,A010787,50
2021-01-13,A010795,4
2021-01-13,A010796,6
2021-01-13,A010880,1
2021-01-13,A010888,7
2021-01-13,A010890,6
2021-01-13,A011026,1
2021-01-13,A011352,1
2021-01-13,A011364,1
2021-01-13,A012327,3
2021-01-13,A012418,1
2021-01-13,A012498,10
2021-01-13,A012567,2
2021-01-13,A012568,2
2021-01-13,A012614,1
2021-01-13,A012615,1
2021-01-13,A012616,1
2021-01-13,A012617,1
2021-01-13,A012628,1
2021-01-13,A012680,1
2021-01-13,A012717,2
2021-01-13,A012746,1
2021-01-13,A012772,1
2021-01-13,A012839,4
2021-01-13,A012883,2
2021-01-13,A012903,4
2021-01-13,A012973,1
2021-01-13,A012995,2
2021-01-13,A013264,1
2021-01-13,A013273,5
2021-01-13,A013292,3
2021-01-13,A013376,2
2021-01-13,A013390,1
2021-01-13,A013391,2
2021-01-13,A013392,2
2021-01-13,A013393,1
2021-01-13,A013394,2
2021-01-13,A013395,2
2021-01-13,A013396,3
2021-01-13,A013397,2
2021-01-13,A013398,2
2021-01-13,A013399,3
2021-01-13,A013401,1
2021-01-13,A013403,1
2021-01-13,A013406,1
2021-01-13,A013407,1
2021-01-13,A013408,2
2021-01-13,A013409,1
2021-01-13,A013413,2
2021-01-13,A013436,2
2021-01-13,A013569,2
2021-01-13,A013599,1
2021-01-13,A013851,10
2021-01-13,A013854,2
2021-01-13,A015941,1
2021-01-13,A016655,1
2021-01-13,A016676,1
2021-01-13,A018100,1
2021-01-13,A019520,1
2021-01-13,A019623,1
2021-01-13,A020159,1
2021-01-13,A020766,1
2021-01-13,A022058,1
2021-01-13,A023189,1
2021-01-13,A023194,1
2021-01-13,A023200,1
2021-01-13,A023201,1
2021-01-13,A024102,1
2021-01-13,A024152,1
2021-01-13,A024259,2
2021-01-13,A024299,1
2021-01-13,A024389,1
2021-01-13,A024408,1
2021-01-13,A024467,1
2021-01-13,A024562,1
2021-01-13,A024992,1
2021-01-13,A025746,1
2021-01-13,A026226,1
2021-01-13,A026311,1
2021-01-13,A026862,1
2021-01-13,A027751,1
2021-01-13,A027878,1
2021-01-13,A028372,1
2021-01-13,A029257,1
2021-01-14,A000426,40
2021-01-14,A000513,34
2021-01-14,A000691,40
2021-01-14,A000760,40
2021-01-14,A000765,50
2021-01-14,A001126,1
2021-01-14,A001409,2
2021-01-14,A001787,10
2021-01-14,A001788,10
2021-01-14,A001962,1
2021-01-14,A001963,1
2021-01-14,A003872,600
2021-01-14,A003875,40
2021-01-14,A003989,1
2021-01-14,A004410,1
2021-01-14,A004450,1
2021-01-14,A004718,1
2021-01-14,A004789,1
2021-01-14,A006728,35
2021-01-14,A007792,1
2021-01-14,A007794,1
2021-01-14,A007809,1
2021-01-14,A007810,1
2021-01-14,A007827,1
2021-01-14,A007918,2
2021-01-14,A009080,6
2021-01-14,A009457,1
2021-01-14,A010469,1
2021-01-14,A010984,4
2021-01-14,A011332,1
2021-01-14,A011336,2
2021-01-14,A011457,1
2021-01-14,A012109,2
2021-01-14,A012519,4
2021-01-14,A013857,1
2021-01-14,A013861,2
2021-01-14,A013890,1
2021-01-14,A013923,4
2021-01-14,A014094,17
2021-01-14,A014122,27
2021-01-14,A014131,34
2021-01-14,A014185,10
2021-01-14,A014305,34
2021-01-14,A014307,70
2021-01-14,A014310,68
2021-01-14,A014312,35
2021-01-14,A015407,1
2021-01-14,A016577,20
2021-01-14,A016639,2
2021-01-14,A017383,1
2021-01-14,A017545,20
2021-01-14,A017755,1
2021-01-14,A017857,1
2021-01-14,A018361,1
2021-01-14,A018871,1
2021-01-14,A019554,1
2021-01-14,A020022,9
2021-01-14,A020073,2
2021-01-14,A020784,1
2021-01-14,A020854,1
2021-01-14,A020898,2
2021-01-14,A021330,8
2021-01-14,A022222,1
2021-01-14,A022258,2
2021-01-14,A022664,11
2021-01-14,A022707,4
2021-01-14,A022714,10
2021-01-14,A022942,1
2021-01-14,A023990,4
2021-01-14,A024119,7
2021-01-14,A024120,4
2021-01-14,A024123,1
2021-01-14,A024244,20
2021-01-14,A024798,1
2021-01-14,A025085,1
2021-01-14,A025531,20
2021-01-14,A025670,1
2021-01-14,A025784,2
2021-01-14,A026245,3
2021-01-14,A026290,6
2021-01-14,A026304,5
2021-01-14,A026324,4
2021-01-14,A026330,8
2021-01-14,A026339,8
2021-01-14,A026527,8
2021-01-14,A026536,10
2021-01-14,A026676,1
2021-01-14,A026792,4
2021-01-14,A026974,1
2021-01-14,A027453,3
2021-01-14,A027705,2
2021-01-14,A027907,1
2021-01-14,A027934,2
2021-01-14,A028338,1
2021-01-14,A028628,1
2021-01-14,A029171,1
2021-01-14,A029355,1
2021-01-14,A029826,10
2021-01-14,A030168,400
2021-01-14,A030343,50
2021-01-14,A030347,30
2021-01-14,A030363,30
2021-01-14,A030388,30
2021-01-14,A030463,30
2021-01-15,A001203,1
2021-01-15,A002399,1
2021-01-15,A002459,1
2021-01-15,A003274,1
2021-01-15,A003372,2
2021-01-15,A003510,1
2021-01-15,A003512,1
2021-01-15,A004354,6
2021-01-15,A004441,12
2021-01-15,A010469,1
2021-01-15,A010999,1
2021-01-15,A011336,2
2021-01-15,A012876,1
2021-01-15,A013883,1
2021-01-15,A013898,1
2021-01-15,A013917,1
2021-01-15,A013924,1
2021-01-15,A020907,1
2021-01-17,A000560,9
2021-01-17,A000763,4
2021-01-17,A001173,1
2021-01-17,A001174,1
2021-01-17,A001231,1
2021-01-17,A001319,1
2021-01-17,A001323,3
2021-01-17,A002807,1
2021-01-17,A003391,1
2021-01-17,A004189,1
2021-01-17,A004886,1
2021-01-17,A004888,1
2021-01-17,A005476,1
2021-01-17,A007141,1
2021-01-17,A007958,1
2021-01-17,A007978,1
2021-01-17,A008419,10
2021-01-17,A008575,1
2021-01-17,A008831,1
2021-01-17,A008928,4
2021-01-17,A009084,1
2021-01-17,A009812,1
2021-01-17,A010949,1
2021-01-17,A011530,1
2021-01-17,A012519,3
2021-01-17,A012708,1
2021-01-17,A012783,1
2021-01-17,A013137,1
2021-01-17,A013335,2
2021-01-17,A013406,1
2021-01-17,A013423,1
2021-01-17,A013426,1
2021-01-17,A013619,1
2021-01-17,A013861,4
2021-01-17,A013878,1
2021-01-17,A013885,1
2021-01-17,A013900,1
2021-01-17,A013904,1
2021-01-17,A013910,2
2021-01-17,A013923,2
2021-01-17,A014416,2
2021-01-17,A016963,1
2021-01-18,A000304,2
2021-01-18,A000306,1
2021-01-18,A000307,1
2021-01-18,A000313,3
2021-01-18,A000356,10
2021-01-18,A001140,20
2021-01-18,A001149,20
2021-01-18,A001502,6
2021-01-18,A001788,10
2021-01-18,A002522,1
2021-01-18,A002565,1
2021-01-18,A002575,2
2021-01-18,A002612,5
2021-01-18,A002617,5
2021-01-18,A002647,1
2021-01-18,A002709,12
2021-01-18,A002796,1
2021-01-18,A002846,5
2021-01-18,A003094,1
2021-01-18,A003118,4
2021-01-18,A003295,10
2021-01-18,A003371,1
2021-01-18,A003403,1
2021-01-18,A003449,1
2021-01-18,A003454,4
2021-01-18,A004084,1
2021-01-18,A004357,26
2021-01-18,A004365,8
2021-01-18,A004862,5
2021-01-18,A004928,1
2021-01-18,A006240,15
2021-01-18,A006581,1
2021-01-18,A006665,4
2021-01-18,A006669,1
2021-01-18,A007426,3
2021-01-18,A007451,5
2021-01-18,A007531,10
2021-01-18,A007731,10
2021-01-18,A007922,10
2021-01-18,A007940,15
2021-01-18,A007950,20
2021-01-18,A008051,10
2021-01-18,A008346,1
2021-01-18,A008349,5
2021-01-18,A008509,6
2021-01-18,A008648,1
2021-01-18,A008652,1
2021-01-18,A008662,1
2021-01-18,A008665,2
2021-01-18,A008672,1
2021-01-18,A008692,1
2021-01-18,A008695,1
2021-01-18,A008710,1
2021-01-18,A008768,5
2021-01-18,A008775,1
2021-01-18,A008784,2
2021-01-18,A008792,1
2021-01-18,A008845,1
2021-01-18,A008858,1
2021-01-18,A008871,3
2021-01-18,A008924,2
2021-01-18,A008928,2
2021-01-18,A009033,1
2021-01-18,A009096,1
2021-01-18,A009101,1
2021-01-18,A009104,1
2021-01-18,A009105,1
2021-01-18,A009108,1
2021-01-18,A009341,1
2021-01-18,A009982,1
2021-01-18,A010952,20
2021-01-18,A010962,1
2021-01-18,A012223,2
2021-01-18,A012739,1
2021-01-18,A012772,3
2021-01-18,A012838,3
2021-01-18,A012848,1
2021-01-18,A012851,140
2021-01-18,A013125,20
2021-01-18,A013221,1
2021-01-18,A013373,2
2021-01-18,A013374,2
2021-01-18,A013385,20
2021-01-18,A013405,1
2021-01-18,A013410,1
2021-01-18,A013418,1
2021-01-18,A013601,3
2021-01-18,A013878,1
2021-01-18,A013924,1
2021-01-18,A013927,1
2021-01-18,A014075,9
2021-01-18,A014083,14
2021-01-18,A014095,10
2021-01-18,A014132,15
2021-01-18,A014279,1
2021-01-18,A014280,1
2021-01-18,A014281,1
2021-01-18,A014282,1
2021-01-18,A014283,1
2021-01-18,A014288,1
2021-01-18,A014304,16
2021-01-18,A014335,1
2021-01-18,A014384,10
2021-01-18,A015348,1
2021-01-18,A015904,1
2021-01-18,A019757,1
2021-01-18,A020799,1
2021-01-18,A022749,37
2021-01-18,A024544,1
2021-01-18,A027266,1
2021-01-18,A027560,1
